Ime občine,"Površina (kv. km)","Št. preb.","Št. preb. (kv. km)","Št. naselij","Ustanovitev (leto)",Pokrajina,Statistična regija,"Odcepitev (od občine)"
Ajdovščina,"245,2",18.651,76,45,-,Primorska,Goriška,-
Ankaran,"8,0",2.984,373,1,2011,Primorska,Obalno-kraška,Koper
Apače,"53,5",3.745,70,21,2006,Štajerska,Pomurska,Gornja Radgona
Beltinci,"62,3",8.650,139,8,1994,Prekmurje,Pomurska,Murska Sobota
Benedikt,"24,1",2.330,97,14,1998,Štajerska,Podravska,Lenart (nekoč že samostojna občina)
Bistrica ob Sotli,"31,1",1.516,49,11,1998,Štajerska,Savinjska,Podčetrtek
Bled,"72,3",8.113,112,10,1994,Gorenjska,Gorenjska,Radovljica
Bloke,"75,1",1.630,22,45,1998,Notranjska,"Primorsko-Notranjska",Loška dolina
Bohinj,"333,7",5.277,16,24,1994,Gorenjska,Gorenjska,Radovljica
Borovnica,"42,3",3.933,93,12,1994,Notranjska,Osrednjeslovenska,Vrhnika
Bovec,"367,3",3.175,9,14,1994,Primorska,Goriška,Tolmin
Braslovče,"54,9",5.175,94,22,1998,Štajerska,Savinjska,Žalec
Brda,72,5.669,79,45,1994,Primorska,Goriška,Nova Gorica
Brezovica,"91,2",10.552,116,16,1994,Notranjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Brežice,"268,1",24.238,90,109,-,Štajerska,Posavska,-
Cankova,"30,6",1.920,68,8,1998,Prekmurje,Pomurska,"Murska Sobota ('94), Cankova - Tišina ('98)"
Celje,"94,9",49.000,517,40,-,Štajerska,Savinjska,
Cerklje na Gorenjskem,78,6.848,88,30,1994,Gorenjska,Gorenjska,Kranj
Cerknica,"241,3",11.013,46,65,-,Notranjska,"Primorsko-Notranjska",-
Cerkno,"131,6",4.760,36,30,1994,Primorska,Goriška,Idrija
Cerkvenjak,"24,5",2.049,84,15,1998,Štajerska,Podravska,Lenart
Cirkulane,32,2.200,69,13,2006,Štajerska,Podravska,"Ptuj ('94), Gorišnica ('98) (sam. 1850, 1952)"
Črenšovci,"33,7",4.200,125,6,1994,Prekmurje,Pomurska,Lendava
Črna na Koroškem,156,3.600,23,9,1994,Koroška,Koroška,Ravne na Koroškem
Črnomelj,"339,7",14.700,43,119,-,Dolenjska,Jugovzhodna,-
Destrnik,"34,4",2.600,76,17,1994,Štajerska,Podravska,Ptuj
Divača,"147,8",3.800,26,31,1994,Primorska,Obalno-kraška,Sežana
Dobje,"17,5",1.000,57,13,1998,Štajerska,Savinjska,Šentjur
Dobrepolje,103,3.800,37,24,1994,Dolenjska,Osrednjeslovenska,Grosuplje
Dobrna,"31,7",2.200,69,11,1998,Štajerska,Savinjska,Vojnik
Dobrova - Polhov Gradec,"117,5",7.200,64,33,1994,Gorenjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
