name,address,phone,email,website,facebook,categories
Karate klub FORUM Ljubljana - Bežigrad,"Družbeni dom Stadion, Staničeva 41",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/104-bezigrad,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Vrhovci,Cesta na Bokalce 1,031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/105-vrhovci,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Dravlje,Klopčičeva 1,031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/106-dravlje,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Rudnik,Ob dolenjski železnici 48,031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/107-rudnik,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Fužine,"Gašperšičeva 10, Fuzine",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/108-fuzine,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Nove Jarše,"Jarška cesta 34, Nove Jarse",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/109-nove-jarse,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Savlje,Selanova 16,031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/21-karate-klub-forum/110-karate-center-savlje,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Vižmarje - Brod,Na Gaju 2,031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/29-karate-klub-forum/urniki-treningov/157-vizmarje-brod,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Medvode,Preška cesta 22,031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/29-karate-klub-forum/urniki-treningov/158-medvode,,"karate, sankukai karate"
Karate klub FORUM Ljubljana - Sostro,"Sostrska cesta 2a, Ljubljana",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubforum/29-karate-klub-forum/urniki-treningov/190-sostro,,"karate, sankukai karate"
Karate Klub Domžale,"Ljubljanska 58, 1230 Domzale",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubdomzale,,"karate, sankukai karate"
Karate Klub DOB - KRTINA,"Krtina 41, 1233 Dob",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubdomzale,,"karate, sankukai karate"
Karate klub DRAGOMELJ,"Dragomelj 180, 1230 Domzale",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubdomzale,,"karate, sankukai karate"
Karate klub TRZIN,"Mengeška 7b, 1236 Trzin",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubdomzale,,"karate, sankukai karate"
Karate klub Radomlje,"Pelechova 83, 1235 Radomlje",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubradomlje,,"karate, sankukai karate"
Karate klub Rodica,"Kettejeva 13, 1230 Domzale",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubradomlje,,"karate, sankukai karate"
Karate klub Mengeš,"Šolska ulica 11, 1234 Menges",031 231 440,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubradomlje,,"karate, sankukai karate"
Karate klub Kamnik,"Šutna 39, 1241 Kamnik",041 679 465,info@sankukai.org,http://www.sankukai.org/index.php/sankukai-karate-klubi/karateklubkamnik,,"karate, sankukai karate"
