name,address,email,website,facebook_url,phone
DL Dravograd,"Koroška cesta 50, 2370 Dravograd",dl.dravograd@gmail.com,,,041 321 131
DL Lucky art,"Kamniška Bistrica 3, 1242 Stahovica",dl.luckyart@gmail.com,,,041 559 676
DL Šmarna Gora,"Čarmanova ul. 7, 1215 Medvode",sandi@cds.si,,,041 618 102
DLLL Snežniška Diana,"Smelijevo naselje 35, 1386 Stari trg pri Ložu",snezniska.diana@gmail.com,,https://www.facebook.com/DLLL-Sne%C5%BEni%C5%A1ka-Diana-386203978126939/,041 262 754
GLK Tržič,"Planinska pot 11, 4294 Križe",glktrzic@gmail.com,,https://www.facebook.com/GLK-Tr%C5%BEi%C4%8D-811020398927410/,(04) 594 62 00
KL Kranj,"Pot v Bitnje 69, 4000 Kranj",klkranj.info@gmail.com,http://www.kl-kranj.com/,https://www.facebook.com/Klub-lokostrelcev-Kranj-324375251067245/,041 223 724
LD ISHI Vodice,"Pustnice 24, 1217 Vodice",sandipavacic@gmail.com,,https://www.facebook.com/Lokostrelsko-dru%C5%A1tvo-Ishi-1516366571981931/,
LD Koroška,"Prežihova ulica 24, 2390 Ravne na Koroškem",dl.koroska@gmail.com,,,
LD Legende Kolpe,"Gradac 142, 8332 Gradac",kolpa.archery@gmail.com,https://legendekolpe.wixsite.com/legendekolpe,https://www.facebook.com/Lokostrelsko-dru%C5%A1tvo-Legende-Kolpe-719051424882849/,
LD Logatec,"Partizanska cesta 6, 1370 Logatec",lokostrelci.logatec@gmail.com,,,
LK Ankaran,"Ulica Zore Perello Godina 3, 6000 Koper",lkankaran@gmail.com,http://lkankaran.si/,https://www.facebook.com/LKAnkaran1/,
LK DLL-Potens strelišče v Kosezah Ljubljana,"Jelovškova ulica 1, 1360 Vrhnika",darja.rozmanec@gmail.com,,https://www.facebook.com/LokostrelskiKlubDLLPotens/,
LK Dolenjske Toplice,"Roška cesta 10, 8350 Dolenjske Toplice",bojan.brulc@siol.net,,,040 210 866
LK Dramlje,"Trnovec pri Dramljah 32b, 3222 Dramlje",lk.dramlje@gmail.com,,https://www.facebook.com/lkdramlje/,
LK Feniks Kranj,"Mirka Vadnova 22, 4000 Kranj",info@lk-feniks.si,http://www.lk-feniks.si/,,
LK Gorica,"Cesta Goriške fronte 102, 5290 Šempeter Pri Gorici",lkgorica@gmail.com,http://www.lk-gorica.si/,https://www.facebook.com/Lokostrelski-klub-Gorica-213162860914/,
LK Gornji Grad,"Attemsov trg 4, 3342 Gornji Grad",colnar.vojc@gmail.com,,,
LK Ilirska Bistrica,"p.p. 9, 6250 Ilirska Bistrica",igor.sustar@siol.net,,,
LK Indiana,"Cesta na Brdo 75, 1000 Ljubljana",drago.dvanajscak@2dg.si,http://www.lkindiana.si/,,
LK Kamnik,"Cankarjeva 26, 1240 Kamnik",info@lkkamnik.si,http://www.lkkamnik.si/,https://www.facebook.com/lkkamnik/,
LK Lendava,"Ulica 22. junija 2a, 9220 Lendava",lk.lendava@gmail.com,,,040 697 781
LK Maribor,"Milenkova 5, 2000 Maribor",info@lk-maribor.si,http://www.lk-maribor.si/,https://www.facebook.com/LokostrelskiKlubMaribor,
LK Mins Postojna,"Globočnikova 7, 6230 Postojna",lklub.mins@gmail.com,http://www.mins-klub.si/drupal/,https://www.facebook.com/LKMINS/,
LK Muta,"Pohorska cesta 33, 2366 Muta",mirko.praprotnik@ekoravne.si,,https://www.facebook.com/LKMuta/,
LK Orel,"Mestni log I/1, 1330 Kočevje",bine.likar@amis.net,http://www.lokostrelci-orel.si/,,
LK Paradoks,"Svibnik 2, 8340 Črnomelj",lkparadoks@gmail.com,https://sites.google.com/site/lokostrelskiklubparadoks/,https://www.facebook.com/Lokostrelci/,
LK Sokol Ložnica,"Ložnica pri Žalcu 24, 3310 Žalec",sokol.loznica@gmail.com,https://sites.google.com/site/lksokol1/,,
LK Šenčur,"Mlakarjeva 67, 4208 Šenčur",info.lksencur@gmail.com,,https://www.facebook.com/LK.Sencur/,
LK Taborska jama,"Mala vas pri Grosupljem 3c,1290 Grosuplje",marjan.kocman@gmail.com,,,
LK Turjak,"Turjak 17, 1311 Turjak",bozo.kovacic1@gmail.com,http://www.lk-turjak.si/,,
LK Žalec,"Bevkova 10, 3310 Žalec",leon.uratnik@telemach.net,,,
"ŠD Partizan, LS Škofja Loka","Pod Plevno 10, 4220 Škofja Loka",najka.tomat@gmail.com,http://sdpartizan.si/index.php/lokostrelstvo,,
ŠKD Budanje,"Budanje 24, 5271 Vipava",erik.bacar@gmail.com,https://sites.google.com/site/lokostrelcibudanje/Home,https://www.facebook.com/Budanjski-lokostrelci-155994494399/,
TKD Sovica,"Grahovo 115, 1384 Grahovo",lokostrelci.sovica@gmail.com,https://drustvo-sovica.si/category/lokostrelstvo/,https://www.facebook.com/tkd.sovica,
"TVD Partizan, LS Ljutomer","Kidričeva 10, 9240 Ljutomer",dusan.r@gmail.com,,https://www.facebook.com/Lokostrelska-sekcija-Ljutomer-260167954373581/,
VLR Vilijem,"Sinja Gorica 87, 1360 Vrhnika",info@vlr-vilijem.com,http://www.vlr-vilijem.com/,https://www.facebook.com/vlrvilijem/,
