latitude,longitude,name,ignore,address,notes,phone,email,website
46.0926558,14.5145104,AVTOTRUNK d.o.o.,92,"DUNAJSKA 229, 1000 LJUBLJANA",GIBI,041/733 573,info@gibisport.com,http://gibisport.com
46.4364615,15.0479225,BRAVO TENIS MB,120,"SPODNJI RAZBOR 63.a, 3325 ŠOŠTANJ",BRAVO,040 916 954,marko.balant@gmail.com,
46.5753637,15.6466826,ELITE TENNISTOUR ACADEMY,127,"V DRAGO 16, 2000 MARIBOR",ETTA,041 558 325,markotkalec77@gmail.com,
46.0702795,14.5419729,FITNESS IN TENIS KLUB RIVAL,80,"KVEDROVA ULICA 5A, 1000 LJUBLJANA",RIVAL,01/541 54 75,info@tkrival-as.si,http://www.tkrival-as.si
45.9894784,14.4027237,"KMN, TENIŠKA SEKCIJA BOBI",109,"PODPEŠKA CESTA 380, 1357 NOTRANJE GORICE",BOBI,041/798 116,grusko_23@hotmail.com,http://bobi.si
46.2143725,14.5974797,"MTA ŠPORT, Matjaž Pogačar s.p.",118,"ULICA LJUDEVITA STIASNYJA 12, 1241 KAMNIK",TUHIN,041 844 086,tenistuhinj@t-2.si,http://www.tenis-tuhinj.si
46.3688666,15.0930518,ŠALEŠKI  TENIŠKI KLUB VELENJE,34,"SIMONA BLATNIKA 24, 3320 VELENJE",ŠTKVE, 03/586 64 66,tenis.jezero@gmail.com,http://www.tenis-jezero.si
46.0344828,14.5694946,ŠPORT HIT CLUB,35,"FRENKOVA POT 50, 1261 LJUBLJANA DOBRUNJE",HITLJ,041/613 032,gogo.sifrer@gmail.com,http://www.hit-club.si
45.9965186,14.3277185,ŠPORTNI KLUB 2002,113,"DRENOV GRIČ 97, 1360 VRHNIKA",ŠK_02,041 207 372,jelovsek.janez@gmail.com,
46.0181152,14.3851362,ŠPORTNO DRUŠTVO DRAGOMER - LUKOVICA,68,"NA GRIVI 5, 1351 BREZOVICA",DRAGO,02/822 33 32,urossec@yahoo.com,
46.0330213,14.4908837,ŠPORTNO DRUŠTVO HANNAH,84,"POD LIPAMI 12, 1000 LJUBLJANA",TKHAN,040 773 131,info@hannah.si,http://www.hannah.si
,,ŠPORTNO DRUŠTVO KRANJSKA GORA,,VRŠIŠKA 23,K.GOR,,domprojekt@siol.net,
46.0431582,14.451946,ŠPORTNO DRUŠTVO LJUBLJANSKI TENIŠKI CENTER,93,"VRHOVCI CESTA XXI 27, 1000 LJUBLJANA",LTC,041/562 058,sreco.zavrski@guest.arnes.si,http://www.ltc.si
46.2639792,15.251703,ŠPORTNO DRUŠTVO LOKROVEC,119,"LOKROVEC 43 A, 3000 CELJE",ŠDLOK,40454994,kris.stermecki@gmail.com,http://www.tenis-lokrovec.si
45.7107398,14.4726752,ŠPORTNO DRUŠTVO Loška dolina,,Cesta Notranjskega odreda 1,ŠDLD,,suzana.tomac@kabelnet.net,http://www.loska-dolina.net
,,ŠPORTNO DRUŠTVO MVT MELJE,,MELJSKI HRIB 83,MELJE,,irena.skaza@guest.arnes.si,
45.5080614,13.616913,ŠPORTNO DRUŠTVO PORTOROŽ,11,"LIMINJANSKA CESTA 115, 6320 PORTOROŽ",ŠDPOR,05/671 06 00,andrej.bizjak@sloveniaopen.si,
46.1721451,14.6984084,ŠPORTNO DRUŠTVO RCU LUKOVICA,53,"PODPEČ 7, 1225 LUKOVICA",RCULU,01/723 58 26,rcu@siol.net,
46.1186454,14.4600876,ŠPORTNO DRUŠTVO ŠMARTNO-TACEN,88,"ROCENSKA ULICA 4, 1211 LJUBLJANA-ŠMARTNO",ŠDŠTA,041/360 156,sport.zajc@gmail.com,www.srce-me-povezuje.si/sdsmartnotacen
46.134534,14.5640145,ŠPORTNO DRUŠTVO ŠPORN ŠPORT,121,MENGEŠKA CESTA 7 C,ŠPORN,041 769 678,ales.sporn@gmail.com,
